Error,File,TimeFunctions(ms),TimeScript(ms),TimeScriptInterpreter(ms),Interpreter
1,mandelbrot_set_numpy.py,-,-,-,2.1.3
0,mandelbrot_set_numpy.py,608.0,795,829,2.7.18
0,mandelbrot_set_numpy.py,341,579,614,3.8.12
0,mandelbrot_set_numpy.py,335,1316,1351,3.9.7
1,mandelbrot_set_numpy.py,-,-,-,3.10.5
0,mandelbrot_set_numpy.py,295,533,567,3.11.0
0,mandelbrot_set_numpy.py,348,639,674,3.12.0
1,mandelbrot_set_numpy.py,-,-,-,3.13-dev
0,mandelbrot_set_numpy.py,304,549,583,nogil-3.9.10-1
1,mandelbrot_set_numpy.py,-,-,-,pypy3.5-5.7-beta
0,mandelbrot_set_numpy.py,1890,2314,2349,pypy3.7-7.3.7
0,mandelbrot_set_numpy.py,1179,1564,1601,pypy3.9-7.3.12
0,mandelbrot_set_numpy.py,1197,1670,1704,pypy3.10-7.3.12
0,mandelbrot_set_numpy.py,234,413,448,pyston-2.3.5
255,mandelbrot_set_numpy.py,,609,644,jython-2.5.0
1,mandelbrot_set_numpy.py,-,-,-,jython-2.7.2
1,mandelbrot_set_numpy.py,-,-,-,graalpy-23.1.0
0,mandelbrot_set_numpy.py,553,760,795,anaconda3-2019.03
0,mandelbrot_set_numpy.py,737,1000,1035,anaconda3-2020.02
0,mandelbrot_set_numpy.py,545,788,824,anaconda3-2021.04
0,mandelbrot_set_numpy.py,570,776,814,anaconda3-2022.05
0,mandelbrot_set_numpy.py,266,472,508,anaconda3-2023.07-2
0,mandelbrot_set_numpy.py,549,752,786,miniconda3-4.7.12
0,mandelbrot_set_numpy.py,284,570,604,miniforge3-22.11.1-4
1,mandelbrot_set_numpy.py,-,-,-,micropython-1.19.1
0,mandelbrot_set_numpy.py,594,834,868,stackless-3.7.5
1,mandelbrot_set_numpy.py,-,-,-,ironpython-2.7.5
1,mandelbrot_set_numpy.py,-,-,-,cinder-3.10-dev
1,mandelbrot_set.py,-,-,-,2.1.3
0,mandelbrot_set.py,90.0,164,198,2.7.18
0,mandelbrot_set.py,285,372,406,3.8.12
0,mandelbrot_set.py,288,355,389,3.9.7
0,mandelbrot_set.py,273,340,377,3.10.5
0,mandelbrot_set.py,228,306,343,3.11.0
0,mandelbrot_set.py,256,328,363,3.12.0
0,mandelbrot_set.py,255,333,369,3.13-dev
0,mandelbrot_set.py,187,253,288,nogil-3.9.10-1
0,mandelbrot_set.py,35,149,184,pypy3.5-5.7-beta
0,mandelbrot_set.py,34,124,158,pypy3.7-7.3.7
0,mandelbrot_set.py,32,121,157,pypy3.9-7.3.12
0,mandelbrot_set.py,31,123,157,pypy3.10-7.3.12
0,mandelbrot_set.py,105,182,217,pyston-2.3.5
0,mandelbrot_set.py,185.0,834,869,jython-2.5.0
0,mandelbrot_set.py,212.0,1684,1718,jython-2.7.2
0,mandelbrot_set.py,1506,2260,2295,graalpy-23.1.0
0,mandelbrot_set.py,207,287,322,anaconda3-2019.03
0,mandelbrot_set.py,183,259,294,anaconda3-2020.02
0,mandelbrot_set.py,198,270,307,anaconda3-2021.04
0,mandelbrot_set.py,168,256,291,anaconda3-2022.05
0,mandelbrot_set.py,150,222,258,anaconda3-2023.07-2
0,mandelbrot_set.py,191,261,297,miniconda3-4.7.12
0,mandelbrot_set.py,178,254,290,miniforge3-22.11.1-4
1,mandelbrot_set.py,-,399,434,micropython-1.19.1
0,mandelbrot_set.py,191,265,300,stackless-3.7.5
0,mandelbrot_set.py,171.0,1041,1076,ironpython-2.7.5
0,mandelbrot_set.py,200,284,320,cinder-3.10-dev
1,mandelbrot_set_with_annotation.py,-,-,-,2.1.3
1,mandelbrot_set_with_annotation.py,-,-,-,2.7.18
1,mandelbrot_set_with_annotation.py,-,-,-,3.8.12
0,mandelbrot_set_with_annotation.py,284,367,403,3.9.7
0,mandelbrot_set_with_annotation.py,268,342,378,3.10.5
0,mandelbrot_set_with_annotation.py,221,308,343,3.11.0
0,mandelbrot_set_with_annotation.py,253,325,360,3.12.0
0,mandelbrot_set_with_annotation.py,262,326,362,3.13-dev
0,mandelbrot_set_with_annotation.py,181,265,301,nogil-3.9.10-1
1,mandelbrot_set_with_annotation.py,-,-,-,pypy3.5-5.7-beta
1,mandelbrot_set_with_annotation.py,-,-,-,pypy3.7-7.3.7
0,mandelbrot_set_with_annotation.py,32,122,158,pypy3.9-7.3.12
0,mandelbrot_set_with_annotation.py,32,125,158,pypy3.10-7.3.12
1,mandelbrot_set_with_annotation.py,-,-,-,pyston-2.3.5
255,mandelbrot_set_with_annotation.py,,589,624,jython-2.5.0
1,mandelbrot_set_with_annotation.py,-,-,-,jython-2.7.2
0,mandelbrot_set_with_annotation.py,1632,1994,2028,graalpy-23.1.0
1,mandelbrot_set_with_annotation.py,-,-,-,anaconda3-2019.03
1,mandelbrot_set_with_annotation.py,-,-,-,anaconda3-2020.02
1,mandelbrot_set_with_annotation.py,-,-,-,anaconda3-2021.04
0,mandelbrot_set_with_annotation.py,169,263,298,anaconda3-2022.05
0,mandelbrot_set_with_annotation.py,148,222,257,anaconda3-2023.07-2
1,mandelbrot_set_with_annotation.py,-,-,-,miniconda3-4.7.12
0,mandelbrot_set_with_annotation.py,174,252,287,miniforge3-22.11.1-4
1,mandelbrot_set_with_annotation.py,-,401,438,micropython-1.19.1
1,mandelbrot_set_with_annotation.py,-,-,-,stackless-3.7.5
1,mandelbrot_set_with_annotation.py,-,-,-,ironpython-2.7.5
0,mandelbrot_set_with_annotation.py,205,282,320,cinder-3.10-dev
